User,All to well,Shape of you,Sue me,Folded,Unlearn,Girls Need Love,Last Last,Bout you,Bounce,Money Trees,New Flame,Fair Trade,Humble,D1,Look Alive
user_1,1,3,0,1,2,2,5,4,5,0,2,0,3,1,3
user_2,3,2,1,2,2,2,0,0,5,2,1,0,2,2,2
user_3,0,2,2,4,0,4,2,3,1,2,1,0,2,3,1
user_4,2,1,1,1,1,3,1,1,0,4,0,0,1,3,3
user_5,4,4,0,3,3,1,0,1,2,3,0,1,3,1,2
user_6,1,3,3,5,5,4,0,2,3,0,1,0,1,3,2
user_7,3,0,1,2,3,3,2,3,3,0,3,0,5,5,5
user_8,0,3,0,3,1,1,2,1,3,4,0,4,3,1,1
user_9,3,0,0,2,2,2,1,2,1,1,2,2,0,4,5
user_10,5,4,5,0,3,2,0,1,1,3,0,1,1,1,3
user_11,3,2,3,0,2,1,1,3,2,5,5,4,0,2,0
user_12,1,2,1,5,5,5,2,0,2,3,1,1,0,0,3
user_13,1,2,2,0,5,4,1,1,0,3,2,2,0,2,2
user_14,3,3,0,3,1,3,2,1,2,0,0,4,3,1,1
user_15,3,2,1,0,3,3,0,3,3,3,3,1,0,5,5
user_16,0,2,1,4,5,4,1,2,0,0,2,2,3,3,2
user_17,1,1,2,1,0,1,4,0,4,0,1,1,3,3,3
user_18,2,1,0,1,2,2,0,2,0,4,4,4,2,2,2
user_19,0,0,4,1,1,0,1,2,1,3,3,1,1,3,3
user_20,0,3,2,2,2,2,0,1,0,2,3,3,5,4,5
user_21,4,5,4,0,1,1,0,0,1,1,2,1,2,1,2
user_22,3,0,1,5,4,4,0,1,3,3,1,3,0,1,3
user_23,0,5,4,2,1,2,3,2,2,3,0,0,3,2,3
user_24,2,3,3,2,2,2,1,1,0,4,5,5,0,0,2
user_25,3,2,0,2,1,1,5,0,4,1,1,0,2,2,3
user_26,4,4,5,2,0,3,0,2,3,1,2,0,2,1,2
user_27,2,2,0,1,2,2,0,2,3,5,4,4,1,1,0
user_28,0,0,2,3,3,3,1,2,2,0,3,1,5,4,4
user_29,5,5,4,2,0,2,1,0,3,3,1,1,0,2,2
user_30,0,3,2,2,2,1,1,1,1,1,3,0,0,5,4
user_31,3,3,2,3,1,2,4,0,0,1,0,1,2,2,2
user_32,1,2,0,1,3,1,2,2,0,3,2,0,5,4,5
user_33,2,3,2,5,4,5,1,1,1,0,0,1,3,0,3
user_34,1,1,1,3,3,1,5,4,4,0,2,3,0,0,3
user_35,0,2,1,0,2,3,0,4,5,1,2,2,2,2,2
user_36,3,1,3,0,1,2,4,4,4,1,1,1,0,0,1
user_37,4,5,5,0,1,3,2,1,3,0,2,0,1,3,1
user_38,3,0,0,4,5,4,1,2,0,2,1,3,3,1,1
user_39,1,3,1,3,2,3,3,2,3,5,4,0,0,1,0
user_40,0,1,3,1,3,0,1,2,2,3,0,3,5,4,4
